Rank,Model,Accuracy,Precision,Recall,Weighted F1,Macro F1,ROC-AUC,FitTime_s,PredictTime_s,n_train,Note
1,Decision Tree (depth=None),0.8991,0.8992,0.8991,0.8991,0.8989,0.8995,3.22,0.014,130196,binary task
2,Logistic Regression,0.8629,0.8715,0.8629,0.8627,0.8628,0.9573,4.92,0.005,130196,binary task
