Model,R2 before,R2 after,ΔR2,RMSE bytes before,RMSE bytes after
Random Forest,0.9993832682210947,0.9993809857173108,-2.282503783868073e-06,17581.438049944634,17424.51781720061
Gradient Boosting,0.9983250381813172,0.999068031846339,0.0007429936650217295,42048.54805781152,27032.637587792426
