Model,Accuracy val,Accuracy test,F1w val,F1w test,F1m val,F1m test,fit (s)
K-Nearest Neighbors,0.8749013177870893,0.8196656800177939,0.8746934676401752,0.8189284062579959,0.49637536218749956,0.5063466558545843,0.22
Decision Tree,0.8728973097710573,0.8087498075179222,0.8894178828472056,0.8185644322727104,0.595320085857285,0.5771471632486639,1.18
Logistic Regression,0.8488492135786725,0.7824638846590358,0.8675475611319861,0.7956989025812581,0.5182335981223295,0.47887822889418485,32.43
SVC (RBF),0.8459950203437178,0.778403225714465,0.8633279239960441,0.7923068127129488,0.49939514986160294,0.45890568129086595,4.17
Gaussian NB,0.7486488127770693,0.6446410137959747,0.7711382117264378,0.6747339338277744,0.3170223309081343,0.31139289118834307,0.25
