Model,CV F1w mean,CV F1w std,CV time (s),folds
Decision Tree,0.8900805913787302,0.0016886068118744007,6.2,"[0.891, 0.8906, 0.8892, 0.8873, 0.8923]"
K-Nearest Neighbors,0.8754143586110835,0.0011039251744419324,35.6,"[0.8769, 0.8754, 0.875, 0.8736, 0.8762]"
